country_code,year,mean_happy,mean_gini,mean_unemployment,n
AT,2014,7.349478390461997,27.6,6,1342
AT,2016,7.613848202396805,27.2,6.5,1502
AT,2018,7.7412109375,26.8,5.2,2048
AT,2023,7.788732394366197,28.1,5.1,1846
BE,2014,7.745521927115503,25.9,8.7,1619
BE,2016,7.739570917759236,26.3,7.9,1678
BE,2018,7.8119237861094035,25.7,6,1627
BE,2020,7.781462585034014,25.3,5.8,1176
BE,2023,7.778251599147121,24.3,5.5,1407
BG,2018,5.549123738714815,39.6,6.2,1883
BG,2020,6.167185415740329,40,6.1,2249
BG,2023,6.110714285714285,37.2,4.3,1680
CH,2014,8.08481110254433,29.5,4.9,1297
CH,2016,8.177742193755005,29.4,5,1249
CH,2018,8.17809364548495,29.7,4.7,1196
CH,2020,8.1216,31.2,4.8,1250
CH,2023,8.16553480475382,31.5,4.1,1178
CZ,2014,6.876872964169382,25.1,6.1,1535
CZ,2016,6.7986070806732455,25.1,4,1723
CZ,2018,6.99626400996264,24,2.2,1606
CZ,2020,6.801050175029172,24.2,2.6,1714
DE,2014,7.591111111111111,30.7,4.7,2700
DE,2016,7.742340926944228,29.5,3.9,2546
DE,2018,7.8211888782358585,31.1,3.2,2086
DE,2023,7.768839574664818,29.4,3.1,2163
DK,2014,8.200302343159485,27.7,6.9,1323
DK,2018,8.396296296296295,27.8,5.1,1350
EE,2016,7.237097598364845,32.7,6.8,1957
EE,2018,7.329025309639203,30.6,5.4,1857
EE,2020,7.501997336884155,30.5,6.9,1502
EE,2023,7.394714407502131,31.8,6.4,1173
ES,2014,7.43449637919684,34.7,24.5,1519
ES,2016,7.696748506967485,34.5,19.6,1507
ES,2018,7.663333333333333,33.2,15.3,1200
ES,2023,7.86475942782835,31.5,12.2,1538
FI,2014,8.059247810407006,25.6,8.7,1941
FI,2016,8.149671052631579,25.4,8.9,1824
FI,2018,8.19277845777234,25.9,7.5,1634
FI,2020,8.161333333333333,26.5,7.7,1500
FI,2023,8.09379217273954,26.6,7.2,1482
FR,2014,7.189626324595649,29.2,10.3,1793
FR,2016,7.216144450345198,29.3,10.1,1883
FR,2018,7.242441209406496,28.5,9,1786
FR,2020,7.455423055082339,29.2,8,1761
FR,2023,7.426666666666667,29.7,7.3,1575
HR,2018,7.34762979683973,29.7,8.3,1329
HR,2020,7.506363636363636,28.3,7.4,1100
HR,2023,7.5437262357414445,29.7,6.1,1052
HU,2014,6.22443890274314,28.6,7.5,1203
HU,2016,6.599024390243902,28.2,5,1025
HU,2018,6.576032225579053,28.7,3.6,993
HU,2020,6.937823834196891,28.2,4.1,1351
HU,2023,7.095924764890282,28.6,4.1,1595
IE,2014,7.222513089005235,31,11.9,1910
IE,2016,7.478962818003915,29.6,8.4,2044
IE,2018,7.731815306767868,28.9,5.8,1581
IE,2020,7.616496598639455,27.6,5.9,1176
IE,2023,7.698236446766819,27.4,4.3,1531
IS,2016,8.13953488372093,24.1,3,817
IS,2018,8.2763819095477391,23.2,2.7,796
IS,2020,8.089901477832512,24,5.5,812
IT,2016,7.164996659986639,33.1,11.7,1497
IT,2018,7.025065963060686,33.4,10.6,1516
IT,2020,7.16386292834891,32.5,9.3,1605
IT,2023,6.981152396338179,31.5,7.7,1857
LT,2014,6.19140625,35,10.7,1792
LT,2016,6.318832283915283,37,7.9,1747
LT,2018,6.846544071020925,36.9,6.2,1577
LT,2020,7.174672489082969,35.1,8.5,1374
LT,2023,7.40940170940171,35.7,6.9,1170
LV,2018,7.0920245398773005,35.6,7.4,815
LV,2023,6.784371909000989,34,6.5,1011
ME,2018,7.6200640341515475,34.7,15.2,937
ME,2020,7.586821015138024,32.9,17.9,1123
MK,2020,6.538390379278446,31.4,16.4,1081
NL,2014,7.80695652173913,26.2,8.4,1725
NL,2016,7.884097035040431,26.9,7,1484
NL,2018,8.023054755043228,27.4,4.9,1388
NL,2020,7.939740655987796,28.2,4.9,1311
NL,2023,7.960215778826703,26.5,3.6,1483
NO,2014,7.983211678832117,23.5,3.8,1370
NO,2016,8.122866894197951,25,4.9,1465
NO,2018,7.987371744277821,24.8,4,1267
NO,2020,7.8344469190794355,25.3,4.7,1347
NO,2023,7.956937799043063,24.7,3.6,1254
PL,2014,7.2409739714525605,30.8,9.2,1191
PL,2016,7.477145148356053,29.8,6.3,1247
PL,2018,7.261723009814613,27.8,3.9,917
PL,2023,7.601190476190476,27,2.8,1008
PT,2014,6.9399061032863845,34.5,14.6,1065
PT,2016,7.3250883392226145,33.9,11.5,1132
PT,2018,7.501779359430604,32.1,7.2,843
PT,2020,6.97927031509121,31.2,7.1,1206
PT,2023,7.109404990403071,33.7,6.5,1042
RS,2018,6.744832041343669,35.6,13.8,1548
RS,2023,7.271468144044322,31.7,9.5,1083
SE,2014,7.900609756097562,26.9,8,1640
SE,2016,7.85625,27.6,7.1,1440
SE,2018,7.893379790940767,27,6.5,1435
SE,2023,7.757215619694397,29.5,7.7,1178
SI,2014,7.026209677419354,25,9.7,992
SI,2016,7.443447037701976,24.4,8,1114
SI,2018,7.640243902439025,23.4,5.1,1148
SI,2020,7.7046070460704605,23.5,5,1107
SI,2023,7.79433962264151,23.4,3.7,1060
SK,2018,6.532043530834342,20.9,6.5,827
SK,2020,6.529896907216494,20.9,6.7,970
SK,2023,6.677179962894248,21.6,5.8,1078
