country_code,year,gini,unemployment_rate
AL,2017,36.8,NA
AL,2018,35.4,NA
AL,2019,34.3,NA
AL,2020,33.2,NA
AL,2021,33,NA
AL,2022,31,NA
AL,2023,30.2,NA
AT,2014,27.6,6
AT,2015,27.2,6.1
AT,2016,27.2,6.5
AT,2017,27.9,5.9
AT,2018,26.8,5.2
AT,2019,27.5,4.8
AT,2020,27,6
AT,2021,26.7,6.2
AT,2022,27.8,4.8
AT,2023,28.1,5.1
AT,2024,28.4,5.2
AT,2025,27.4,5.7
BE,2014,25.9,8.7
BE,2015,26.2,8.7
BE,2016,26.3,7.9
BE,2017,26.1,7.2
BE,2018,25.7,6
BE,2019,25.1,5.5
BE,2020,25.3,5.8
BE,2021,24.1,6.3
BE,2022,24.7,5.6
BE,2023,24.3,5.5
BE,2024,24.6,5.7
BE,2025,23.4,6.2
BG,2014,35.4,12.4
BG,2015,37,10.1
BG,2016,37.7,8.6
BG,2017,40.2,7.2
BG,2018,39.6,6.2
BG,2019,40.8,5.2
BG,2020,40,6.1
BG,2021,39.7,5.2
BG,2022,38.4,4.2
BG,2023,37.2,4.3
BG,2024,38.4,4.2
BG,2025,37.7,3.5
CH,2014,29.5,4.9
CH,2015,29.6,4.8
CH,2016,29.4,5
CH,2017,30.1,4.8
CH,2018,29.7,4.7
CH,2019,30.6,4.4
CH,2020,31.2,4.8
CH,2021,31.4,5.1
CH,2022,31,4.1
CH,2023,31.5,4.1
CH,2024,31,4.4
CH,2025,NA,4.9
CZ,2014,25.1,6.1
CZ,2015,25,5.1
CZ,2016,25.1,4
CZ,2017,24.5,2.9
CZ,2018,24,2.2
CZ,2019,24,2
CZ,2020,24.2,2.6
CZ,2021,24.8,2.8
CZ,2022,24.8,2.2
CZ,2023,24.4,2.6
CZ,2024,23.7,2.6
CZ,2025,24,2.8
DE,2014,30.7,4.7
DE,2015,30.1,4.4
DE,2016,29.5,3.9
DE,2017,29.1,3.5
DE,2018,31.1,3.2
DE,2019,29.7,2.9
DE,2020,30.5,3.6
DE,2021,31.2,3.6
DE,2022,29,3.1
DE,2023,29.4,3.1
DE,2024,29.5,3.4
DE,2025,30.1,3.8
DK,2014,27.7,6.9
DK,2015,27.4,6.3
DK,2016,27.7,6
DK,2017,27.6,5.8
DK,2018,27.8,5.1
DK,2019,27.5,5
DK,2020,27.3,5.6
DK,2021,27,5.1
DK,2022,27.7,4.5
DK,2023,28.2,5.1
DK,2024,28.6,6.2
DK,2025,28.2,6.4
EE,2014,35.6,7.3
EE,2015,34.8,6.4
EE,2016,32.7,6.8
EE,2017,31.6,5.8
EE,2018,30.6,5.4
EE,2019,30.5,4.5
EE,2020,30.5,6.9
EE,2021,30.6,6.2
EE,2022,31.9,5.6
EE,2023,31.8,6.4
EE,2024,30.8,7.6
EE,2025,30.9,7.5
ES,2014,34.7,24.5
ES,2015,34.6,22.1
ES,2016,34.5,19.6
ES,2017,34.1,17.2
ES,2018,33.2,15.3
ES,2019,33,14.1
ES,2020,32.1,15.5
ES,2021,33,14.9
ES,2022,32,13
ES,2023,31.5,12.2
ES,2024,31.2,11.4
ES,2025,30.8,10.5
FI,2014,25.6,8.7
FI,2015,25.2,9.4
FI,2016,25.4,8.9
FI,2017,25.3,8.7
FI,2018,25.9,7.5
FI,2019,26.2,6.8
FI,2020,26.5,7.7
FI,2021,25.7,7.7
FI,2022,26.6,6.8
FI,2023,26.6,7.2
FI,2024,26.1,8.4
FI,2025,27.1,9.7
FR,2014,29.2,10.3
FR,2015,29.2,10.3
FR,2016,29.3,10.1
FR,2017,28.8,9.4
FR,2018,28.5,9
FR,2019,29.2,8.4
FR,2020,29.2,8
FR,2021,29.3,7.9
FR,2022,29.8,7.3
FR,2023,29.7,7.3
FR,2024,30,7.4
FR,2025,30.4,7.7
HR,2014,30.2,17.3
HR,2015,30.4,16.2
HR,2016,29.8,13
HR,2017,29.9,11.1
HR,2018,29.7,8.3
HR,2019,29.2,6.6
HR,2020,28.3,7.4
HR,2021,29.2,7.5
HR,2022,28.5,6.8
HR,2023,29.7,6.1
HR,2024,29.8,5
HR,2025,28.5,4.9
HU,2014,28.6,7.5
HU,2015,28.2,6.6
HU,2016,28.2,5
HU,2017,28.1,4
HU,2018,28.7,3.6
HU,2019,26.8,3.3
HU,2020,28.2,4.1
HU,2021,27.4,4
HU,2022,26.9,3.6
HU,2023,28.6,4.1
HU,2024,28,4.5
HU,2025,29.5,4.4
IE,2014,31,11.9
IE,2015,29.7,9.9
IE,2016,29.6,8.4
IE,2017,30.6,6.7
IE,2018,28.9,5.8
IE,2019,28,5
IE,2020,27.6,5.9
IE,2021,26.6,6.2
IE,2022,26.9,4.5
IE,2023,27.4,4.3
IE,2024,26.4,4.3
IE,2025,27.2,4.7
IS,2014,22.7,4.9
IS,2015,24.7,4
IS,2016,24.1,3
IS,2017,25.2,2.7
IS,2018,23.2,2.7
IS,2019,23.7,3.5
IS,2020,24,5.5
IS,2021,NA,6.1
IS,2022,NA,3.8
IS,2023,NA,3.5
IS,2024,NA,3.6
IT,2014,32.4,12.9
IT,2015,32.4,12
IT,2016,33.1,11.7
IT,2017,32.7,11.3
IT,2018,33.4,10.6
IT,2019,32.8,9.9
IT,2020,32.5,9.3
IT,2021,32.9,9.5
IT,2022,32.7,8.1
IT,2023,31.5,7.7
IT,2024,32.2,6.5
IT,2025,31,6.1
LT,2014,35,10.7
LT,2015,37.9,9.1
LT,2016,37,7.9
LT,2017,37.6,7.1
LT,2018,36.9,6.2
LT,2019,35.4,6.3
LT,2020,35.1,8.5
LT,2021,35.4,7.1
LT,2022,36.2,6
LT,2023,35.7,6.9
LT,2024,35.3,7.1
LT,2025,35.5,6.9
LU,2014,28.7,5.9
LU,2015,28.5,6.7
LU,2016,29.6,6.3
LU,2017,29.2,5.5
LU,2018,31.3,5.6
LU,2019,32.3,5.6
LU,2020,31.2,6.8
LU,2021,29.6,5.3
LU,2022,29.1,4.6
LU,2023,30.6,5.2
LU,2024,30.1,6.4
LU,2025,30.5,6.5
LV,2014,35.5,10.9
LV,2015,35.4,9.9
LV,2016,34.5,9.7
LV,2017,34.5,8.7
LV,2018,35.6,7.4
LV,2019,35.2,6.3
LV,2020,34.5,8.1
LV,2021,35.7,7.6
LV,2022,34.3,6.9
LV,2023,34,6.5
LV,2024,34.2,6.9
LV,2025,35.6,6.9
ME,2014,NA,18
ME,2015,36.5,17.6
ME,2016,36.5,17.8
ME,2017,36.7,16.1
ME,2018,34.7,15.2
ME,2019,34.1,15.2
ME,2020,32.9,17.9
ME,2021,32.5,NA
ME,2022,31.5,NA
MK,2014,35.2,28
MK,2015,33.7,26.1
MK,2016,33.6,23.7
MK,2017,32.4,22.4
MK,2018,31.9,20.8
MK,2019,30.7,17.3
MK,2020,31.4,16.4
MK,2021,30.3,15.5
MK,2022,29.8,14.4
MK,2023,30.3,13.1
MK,2024,29.2,12.3
MK,2025,NA,11.5
MT,2014,27.7,5.7
MT,2015,28.1,5.4
MT,2016,28.6,4.7
MT,2017,28.2,4
MT,2018,28.7,4
MT,2019,28,4.1
MT,2020,30.3,4.9
MT,2021,31.2,3.8
MT,2022,31.1,3.5
MT,2023,33,3.5
MT,2024,31.3,3.2
MT,2025,29.2,3.1
NL,2014,26.2,8.4
NL,2015,26.7,7.9
NL,2016,26.9,7
NL,2017,27.1,5.9
NL,2018,27.4,4.9
NL,2019,26.8,4.4
NL,2020,28.2,4.9
NL,2021,26.4,4.2
NL,2022,26.3,3.5
NL,2023,26.5,3.6
NL,2024,25.9,3.7
NL,2025,25.9,3.9
NO,2014,23.5,3.8
NO,2015,23.9,4.7
NO,2016,25,4.9
NO,2017,26.1,4.4
NO,2018,24.8,4
NO,2019,25.4,3.9
NO,2020,25.3,4.7
NO,2021,25.9,4.4
NO,2022,27.5,3.2
NO,2023,24.7,3.6
NO,2024,24.4,4
NO,2025,23.7,4.5
PL,2014,30.8,9.2
PL,2015,30.6,7.7
PL,2016,29.8,6.3
PL,2017,29.2,5
PL,2018,27.8,3.9
PL,2019,28.5,3.3
PL,2020,27.2,3.2
PL,2021,26.8,3.4
PL,2022,26.3,2.9
PL,2023,27,2.8
PL,2024,26,2.9
PL,2025,24.9,3.1
PT,2014,34.5,14.6
PT,2015,34,13
PT,2016,33.9,11.5
PT,2017,33.5,9.2
PT,2018,32.1,7.2
PT,2019,31.9,6.6
PT,2020,31.2,7.1
PT,2021,33,6.7
PT,2022,32,6.2
PT,2023,33.7,6.5
PT,2024,31.9,6.5
PT,2025,30.9,6
RO,2014,35,8.6
RO,2015,37.4,8.4
RO,2016,34.7,7.2
RO,2017,33.1,6.1
RO,2018,35.1,5.3
RO,2019,34.8,4.9
RO,2020,33.8,6.1
RO,2021,34.3,5.6
RO,2022,32,5.6
RO,2023,31,5.6
RO,2024,28,5.4
RO,2025,27.3,6.1
RS,2014,38.3,20.7
RS,2015,40,19
RS,2016,39.8,16.5
RS,2017,37.8,14.6
RS,2018,35.6,13.8
RS,2019,33.6,11.4
RS,2020,33.8,9.8
RS,2021,33.3,11.2
RS,2022,32.6,9.6
RS,2023,31.7,9.5
RS,2024,31.9,8.6
RS,2025,32,8.7
SE,2014,26.9,8
SE,2015,26.7,7.5
SE,2016,27.6,7.1
SE,2017,28,6.8
SE,2018,27,6.5
SE,2019,27.6,6.9
SE,2020,26.9,8.5
SE,2021,26.8,8.9
SE,2022,27.6,7.5
SE,2023,29.5,7.7
SE,2024,27.6,8.4
SE,2025,28.6,8.8
SI,2014,25,9.7
SI,2015,24.5,9
SI,2016,24.4,8
SI,2017,23.7,6.6
SI,2018,23.4,5.1
SI,2019,23.9,4.4
SI,2020,23.5,5
SI,2021,23,4.8
SI,2022,23.1,4
SI,2023,23.4,3.7
SI,2024,23.8,3.7
SI,2025,24.6,3.9
