country_left_out,gini_coef
AT,-0.07802290973651609
BE,-0.07914788773534318
BG,-0.0293136191742385
CH,-0.08163493618195883
CZ,-0.08638137918558511
DE,-0.08751229753394492
DK,-0.07763734618816845
EE,-0.07945630245577283
ES,-0.07776790246365078
FI,-0.07502531392495673
FR,-0.08222862354010715
HR,-0.07950685642292346
HU,-0.07805763130435593
IE,-0.07877348310406813
IS,-0.0776296361277605
IT,-0.07895655317963558
LT,-0.08479585235158013
LV,-0.08221330479529182
ME,-0.07911859236793287
NL,-0.0786720794255806
NO,-0.07777827492172085
PL,-0.07937811698269351
PT,-0.0802885435011369
RS,-0.07828984132123415
SE,-0.07810379179409174
SI,-0.08247023241739976
SK,-0.10280842166826819
